Date,Revenue,Expenses,Profit,Employee Count,Customer Satisfaction,Website Visits,Conversion Rate,Product A Sales,Product B Sales
2022-01-01,10000,5000,5000,10,75,1000,10,50,100
2022-02-01,12000,6000,6000,11,80,1200,12,55,120
2022-03-01,15000,7000,8000,12,85,1500,15,60,150
2022-04-01,18000,8000,10000,14,90,1800,18,65,180
2022-05-01,20000,9000,11000,15,92,2000,20,70,200
2022-06-01,22000,10000,12000,16,94,2200,22,75,220
2022-07-01,24000,11000,13000,17,95,2400,24,80,240
2022-08-01,26000,12000,14000,18,96,2600,26,85,260
2022-09-01,28000,13000,15000,19,97,2800,28,90,280
2022-10-01,30000,14000,16000,20,98,3000,30,95,300
